id,key,value,type
67497154,highway,traffic_signals,regular
67497154,crossing,traffic_signals,regular
67504899,ref,16,regular
67504899,highway,motorway_junction,regular
67531869,railway,level_crossing,regular
67541813,ref,16,regular
67541813,highway,motorway_junction,regular
67557613,highway,turning_circle,regular
67650190,highway,turning_circle,regular
67668664,highway,turning_circle,regular
67746849,highway,turning_circle,regular
67760300,traffic_calming,hump,regular
67808420,highway,turning_circle,regular
67820371,highway,turning_circle,regular
67838645,highway,traffic_signals,regular
67838645,crossing,traffic_signals,regular
67908015,highway,turning_circle,regular
67933835,highway,turning_circle,regular
68151650,ref,61B,regular
68151650,exit_to,GA 260; Glenwood Ave,regular
68151650,highway,motorway_junction,regular
68155542,ref,89,regular
68155542,highway,motorway_junction,regular
68156351,ref,60,regular
68156351,exit_to,US 23; Moreland Ave,regular
68156351,highway,motorway_junction,regular
68160868,highway,traffic_signals,regular
68170552,highway,traffic_signals,regular
68170552,traffic_signals,signal,regular
68177205,highway,turning_circle,regular
68178828,highway,traffic_signals,regular
68178838,traffic_calming,hump,regular
68178846,traffic_calming,hump,regular
68180440,highway,traffic_signals,regular
68192021,highway,traffic_signals,regular
68192044,highway,traffic_signals,regular
68192256,highway,traffic_signals,regular
68196085,highway,traffic_signals,regular
68201637,highway,turning_circle,regular
68206216,highway,traffic_signals,regular
68207715,highway,traffic_signals,regular
68212416,highway,stop,regular
68214207,highway,stop,regular
68228969,traffic_calming,hump,regular
68230595,traffic_calming,hump,regular
68257817,traffic_calming,hump,regular
68257865,traffic_calming,hump,regular
68262090,highway,traffic_signals,regular
68297567,barrier,lift_gate,regular
68310855,highway,turning_circle,regular
68313606,highway,traffic_signals,regular
68317507,highway,traffic_signals,regular
68322182,traffic_calming,table,regular
68332311,highway,traffic_signals,regular
68332350,highway,crossing,regular
68332596,bus,yes,regular
68332596,name,Clifton - Gatewood (SB),regular
68332596,highway,bus_stop,regular
68332596,towards,Decatur,regular
68332596,public_transport,stop_position,regular
68332619,highway,traffic_signals,regular
68347628,traffic_calming,hump,regular
68347654,traffic_calming,hump,regular
68367431,highway,traffic_signals,regular
68368856,traffic_calming,table,regular
68370977,highway,stop,regular
68409942,highway,turning_circle,regular
68423154,traffic_calming,hump,regular
68450128,highway,turning_circle,regular
69097417,highway,traffic_signals,regular
69103079,highway,traffic_signals,regular
69103508,ref,244,regular
69103508,exit_to,University Avenue,regular
69103508,highway,motorway_junction,regular
69106268,ref,254,regular
69106268,exit_to,Moores Mill Road,regular
69106268,highway,motorway_junction,regular
69108048,ref,254,regular
69108048,exit_to,Moores Mill Road,regular
69108048,highway,motorway_junction,regular
69108107,ref,252B,regular
69108107,highway,motorway_junction,regular
69108378,ref,248C,regular
69108378,exit_to,GA-10 East;Andrew Young International Boulevard;Freedom Parkway;Carter Center,regular
69108378,highway,motorway_junction,regular
69109869,highway,motorway_junction,regular
69112060,ref,56B,regular
69112060,exit_to,Windsor St/Spring St/Turner Field,regular
69112060,highway,motorway_junction,regular
69112671,highway,traffic_signals,regular
69112725,ref,248D,regular
69112725,exit_to,Jesse Hill Drive; J W Dobbs Avenue; Auburn Avenue,regular
69112725,highway,motorway_junction,regular
69114912,highway,motorway_junction,regular
69117137,ref,248C,regular
69117137,exit_to,GA-10 East;Freedom Parkway,regular
69117137,highway,motorway_junction,regular
69118311,ref,55A,regular
69118311,exit_to,Lowery Blvd,regular
69118311,highway,motorway_junction,regular
69119358,ref,51A,regular
69119358,exit_to,I 285 S,regular
69119358,highway,motorway_junction,regular
69119432,ref,9,regular
69119432,highway,motorway_junction,regular
69120962,ref,243,regular
